game_no,Home_team,Away_team,half_time_score,home_score,away_score,home_odds,draw_odds,away_odds,game_id,outcome,home_wins,draws_no,away_wins,game_count,1/2
4,BUR,NOT,0-2,0,4,2.24,3.65,3.05,205,2,0,1,2,3,1
5,FUL,CHE,0-2,0,3,3.5,3.8,2.0,245,2,3,0,2,5,1
6,LIV,WOL,1-0,2,0,1.58,4.55,5.25,362,1,4,1,0,5,1
7,LUT,WHU,1-3,1,3,3.55,3.65,2.04,5,2,1,1,5,7,1
8,MCI,BOU,1-2,3,4,1.32,5.5,9.25,363,2,3,0,1,4,1
9,NEW,ARS,2-0,3,0,2.25,3.8,2.95,266,1,3,1,3,7,1
10,SHU,TOT,0-1,0,2,3.8,3.8,1.93,181,2,2,0,3,5,1
1,ARS,EVE,2-0,4,0,1.66,4.1,4.95,248,1,3,0,1,4,1
2,BHA,FUL,1-0,3,0,1.55,4.4,5.75,42,1,2,1,1,4,1
3,BUR,WHU,0-0,1,1,3.3,3.6,2.16,111,x,3,1,3,7,0
4,CHE,BOU,4-0,6,0,1.41,4.85,7.5,274,1,3,1,0,4,1
5,LIV,CRY,3-0,4,2,1.63,4.5,4.7,213,1,6,2,0,8,1
6,LUT,MUN,0-1,2,1,4.3,4.15,1.74,93,1,2,1,2,5,1
7,MCI,BRE,1-0,1,0,1.55,4.4,5.75,309,1,4,0,2,6,1
8,SHU,AST,0-1,0,1,3.75,3.7,1.96,158,2,3,0,3,6,1
9,TOT,NEW,2-0,2,0,2.17,3.8,3.1,151,1,4,2,0,6,1
10,WOL,NOT,1-1,2,2,1.93,3.8,3.75,152,x,2,2,2,6,0
1,ARS,WOL,2-0,2,2,1.55,4.45,5.75,40,x,2,2,0,4,0
2,BUR,NEW,0-0,1,0,3.85,3.8,1.92,119,1,2,2,4,8,1
3,EVE,MCI,0-0,1,0,3.25,3.7,2.14,34,1,3,2,3,8,1
4,FUL,CRY,0-1,0,3,2.45,3.65,2.75,346,2,2,0,1,3,1
5,LIV,SHU,0-1,2,2,1.4,5.25,7.0,261,x,6,3,0,9,0
6,LUT,BRE,0-0,1,0,3.0,3.35,2.4,214,1,3,0,0,3,1
7,MUN,CHE,2-0,2,1,2.09,4.0,3.15,331,1,2,1,1,4,1
8,NOT,BOU,2-0,4,2,1.99,3.75,3.6,364,1,3,0,1,4,1
9,TOT,AST,0-0,0,0,2.1,3.8,3.25,254,x,1,2,2,5,0
10,WHU,BHA,0-1,2,3,2.45,3.6,2.8,59,2,2,2,3,7,1
1,ARS,LUT,0-0,2,0,1.35,5.25,8.5,20,1,6,1,0,7,1
2,BHA,LIV,1-0,4,1,2.08,4.0,3.15,161,1,4,1,2,7,1
3,BOU,TOT,0-1,1,2,3.9,3.8,1.89,32,2,3,1,3,7,1
4,BRE,FUL,0-1,2,2,1.96,3.65,3.85,187,x,1,3,0,4,0
5,MCI,WOL,0-1,1,1,1.48,4.7,6.25,76,x,4,4,1,9,0
6,MUN,CRY,0-1,1,1,1.62,4.45,4.85,37,x,3,3,0,6,0
7,NEW,EVE,2-3,2,4,1.76,3.9,4.5,65,2,0,1,2,3,1
8,NOT,BUR,0-0,2,1,2.06,3.75,3.4,180,1,3,2,1,6,1
9,SHU,CHE,0-0,0,1,4.1,3.8,1.85,192,2,1,2,2,5,1
10,WHU,AST,0-1,1,1,2.35,3.65,2.9,79,x,4,4,0,8,0
1,ARS,MCI,0-1,2,2,2.2,3.95,2.95,60,x,1,3,7,11,0
2,AST,LIV,0-1,2,1,2.14,4.05,3.05,30,1,2,1,2,5,1
3,BOU,WHU,0-0,1,1,3.45,3.6,2.08,322,x,0,1,2,3,0
4,CHE,BHA,1-1,1,3,2.08,3.75,3.35,81,2,0,1,5,6,1
5,FUL,LUT,2-0,2,1,1.9,3.75,3.95,340,1,4,1,1,6,1
6,MUN,BRE,1-0,2,0,1.65,4.2,4.9,157,1,3,0,2,5,1
7,NEW,WOL,2-0,4,1,1.63,4.15,5.25,140,1,5,1,2,8,1
8,NOT,EVE,0-0,0,0,2.7,3.6,2.55,242,x,0,2,2,4,0
9,SHU,CRY,3-0,3,0,2.85,3.5,2.45,175,1,1,2,2,5,1
10,TOT,BUR,1-1,2,2,1.48,4.6,6.5,197,x,1,2,3,6,0
1,ARS,NEW,1-2,1,3,1.98,3.95,3.5,228,2,3,0,2,5,1
2,BOU,LIV,2-1,3,2,4.05,4.15,1.8,333,1,1,1,2,4,1
3,BUR,WHU,1-0,2,3,3.3,3.6,2.16,111,2,3,1,3,7,1
4,CHE,AST,1-1,2,1,2.01,3.85,3.5,225,1,4,2,1,7,1
5,CRY,BHA,1-0,4,0,2.85,3.65,2.4,91,1,2,3,1,6,1
6,MCI,LUT,1-0,1,0,1.3,5.75,9.5,55,1,6,0,0,6,1
7,MUN,FUL,3-1,3,1,1.47,4.9,6.0,122,1,7,0,0,7,1
8,SHU,BRE,0-0,2,2,2.85,3.35,2.55,284,x,2,2,2,6,0
9,TOT,EVE,0-0,2,1,1.79,3.9,4.35,176,1,2,2,0,4,1
10,WOL,NOT,0-0,0,1,1.93,3.8,3.75,152,2,2,2,2,6,1
1,BRE,BOU,0-0,1,0,1.8,3.7,4.6,178,1,3,2,3,8,1
2,CRY,BUR,0-0,0,1,1.79,3.85,4.35,13,2,4,3,2,9,1
3,EVE,CHE,0-0,2,2,2.9,3.55,2.4,14,x,1,1,3,5,0
4,FUL,AST,0-0,1,1,3.25,3.7,2.14,313,x,0,3,1,4,0
5,LIV,WOL,4-0,5,0,1.58,4.55,5.25,362,1,4,1,0,5,1
6,LUT,SHU,0-0,0,0,2.3,3.45,3.1,75,x,1,2,1,4,0
7,MCI,TOT,1-1,2,2,1.82,4.15,3.9,341,x,1,2,0,3,0
8,MUN,BHA,0-1,0,1,2.04,3.95,3.3,174,2,4,3,3,10,1
9,NEW,NOT,0-0,1,2,1.46,4.85,6.25,365,2,2,1,2,5,1
10,WHU,ARS,0-2,0,2,2.6,3.75,2.55,19,2,3,2,2,7,1
1,ARS,LIV,0-0,1,0,1.91,4.25,3.5,337,1,1,0,3,4,1
2,AST,MUN,0-0,1,1,2.21,3.95,2.95,361,x,1,2,2,5,0
3,BOU,FUL,0-0,1,0,2.5,3.5,2.8,210,1,2,3,2,7,1
4,BUR,BRE,1-0,1,1,2.8,3.35,2.6,332,x,1,2,1,4,0
5,CHE,WOL,1-1,1,1,1.6,4.25,5.5,53,x,3,4,0,7,0
6,EVE,CRY,1-0,1,1,2.14,3.55,3.35,231,x,5,3,1,9,0
7,LUT,NOT,0-0,1,3,2.4,3.65,2.85,16,2,4,1,1,6,1
8,SHU,BHA,0-0,1,1,3.95,3.7,1.92,17,x,1,1,3,5,0
9,TOT,NEW,0-0,2,0,2.17,3.8,3.1,151,1,4,2,0,6,1
10,WHU,MCI,0-1,0,2,2.75,3.8,2.4,278,2,1,1,2,4,1
1,ARS,WHU,0-0,0,2,1.79,4.05,4.15,366,2,1,1,1,3,1
2,AST,SHU,1-0,3,0,1.49,4.5,6.5,290,1,5,0,0,5,1
3,BRE,BUR,0-0,2,0,1.85,3.65,4.35,23,1,3,1,3,7,1
4,CHE,MCI,1-1,3,4,2.3,3.85,2.8,211,2,1,2,2,5,1
5,FUL,NEW,2-1,3,4,3.4,3.8,2.05,221,2,0,1,4,5,1
6,LIV,BOU,1-0,3,0,1.38,5.25,7.5,279,1,5,0,2,7,1
7,LUT,EVE,0-2,1,2,3.1,3.4,2.35,189,2,0,1,1,2,1
8,MUN,CRY,4-0,5,3,1.62,4.45,4.85,37,1,3,3,0,6,1
9,NOT,WOL,0-1,0,2,2.45,3.65,2.8,318,2,1,1,2,4,1
10,TOT,BHA,1-1,3,1,2.18,3.75,3.15,8,1,4,1,2,7,1
1,AST,NEW,1-1,2,1,2.21,3.75,3.05,239,1,1,1,1,3,1
2,BHA,LUT,3-1,8,3,1.43,4.75,7.25,105,1,7,1,0,8,1
3,CRY,MCI,0-3,1,4,3.3,3.9,2.05,169,2,0,2,2,4,1
4,EVE,BRE,0-1,1,2,2.18,3.4,3.45,259,2,3,1,1,5,1
5,FUL,NOT,1-2,4,4,2.03,3.85,3.4,166,x,1,1,0,2,0
6,LIV,CHE,1-2,1,3,2.12,4.05,3.05,314,2,3,1,1,5,1
7,SHU,BOU,1-0,2,0,2.18,3.45,3.35,48,1,2,4,1,7,1
8,TOT,MUN,0-0,1,0,2.17,4.0,3.0,58,1,5,0,1,6,1
9,WHU,BUR,0-0,0,0,1.6,4.2,5.5,226,x,3,3,0,6,0
10,WOL,ARS,0-0,2,0,3.35,3.75,2.07,305,1,2,1,2,5,1
1,BOU,NEW,0-1,0,2,4.05,3.8,1.86,51,2,1,1,5,7,1
2,BRE,BHA,0-2,1,3,2.95,3.45,2.4,200,2,0,1,3,4,1
3,BUR,WOL,2-0,2,0,2.6,3.45,2.7,155,1,4,1,2,7,1
4,CHE,SHU,0-0,1,2,1.43,4.75,7.25,350,2,4,0,1,5,1
5,CRY,LIV,0-0,0,3,2.8,3.95,2.3,249,2,2,0,2,4,1
6,FUL,ARS,1-0,2,0,3.7,3.95,1.92,235,1,2,0,3,5,1
7,LUT,TOT,0-1,1,3,4.05,3.85,1.85,328,2,0,1,4,5,1
8,MCI,MUN,0-1,1,1,1.86,4.3,3.65,139,x,5,3,0,8,0
9,NOT,AST,0-1,0,2,3.4,3.85,2.02,352,2,0,2,1,3,1
10,WHU,EVE,1-0,4,2,1.96,3.65,3.8,347,1,4,0,1,5,1
10,WOL,BHA,1-0,1,0,2.7,3.6,2.55,360,1,1,0,2,3,1
1,ARS,CRY,0-2,4,2,1.59,4.4,5.25,50,1,3,3,0,6,1
2,BHA,AST,0-1,2,1,2.08,3.75,3.35,193,1,6,1,3,10,1
3,BRE,WOL,1-1,2,1,2.12,3.45,3.5,282,1,5,2,2,9,1
4,BUR,CHE,1-0,1,1,4.0,3.8,1.88,64,x,0,3,5,8,0
5,EVE,BOU,0-0,1,1,1.74,3.8,4.8,4,x,4,4,0,8,0
6,FUL,LUT,2-1,3,1,1.9,3.75,3.95,340,1,4,1,1,6,1
7,LIV,SHU,1-0,1,0,1.4,5.25,7.0,261,1,6,3,0,9,1
8,NEW,MCI,0-1,0,1,2.4,3.85,2.75,263,2,3,1,1,5,1
9,NOT,MUN,0-1,0,3,3.7,4.2,1.86,343,2,3,1,3,7,1
10,WHU,TOT,0-0,1,1,2.35,3.7,2.85,292,x,1,4,2,7,0
1,BHA,BOU,1-2,2,2,1.45,4.6,7.0,99,x,2,2,0,4,0
2,BRE,FUL,1-2,3,3,1.96,3.65,3.85,187,x,1,3,0,4,0
3,CHE,EVE,2-1,2,1,1.73,3.95,4.65,136,1,5,0,2,7,1
4,CRY,BUR,1-0,1,1,1.79,3.85,4.35,13,x,4,3,2,9,0
5,LUT,AST,0-0,0,0,4.0,3.75,1.89,84,x,1,4,1,6,0
6,MUN,ARS,1-1,2,3,2.16,4.05,3.0,262,2,4,2,1,7,1
7,NEW,LIV,2-0,2,1,2.05,4.1,3.2,330,1,3,0,2,5,1
8,NOT,MCI,1-0,2,0,4.3,4.3,1.72,275,1,2,0,5,7,1
9,TOT,SHU,0-0,3,0,1.47,4.65,6.5,86,1,4,1,1,6,1
10,WOL,WHU,0-1,0,1,2.7,3.55,2.55,133,2,0,1,5,6,1
1,ARS,MCI,0-3,2,6,2.2,3.95,2.95,60,2,1,3,7,11,1
2,BHA,CHE,0-0,0,0,2.21,3.7,3.1,367,x,0,2,1,3,0
3,BOU,LUT,2-0,4,1,2.17,3.5,3.35,135,1,2,1,5,8,1
4,BRE,AST,0-2,4,4,2.8,3.5,2.5,144,x,2,2,2,6,0
5,BUR,MUN,0-2,0,3,3.95,4.05,1.84,273,2,1,2,3,6,1
6,EVE,CRY,0-0,2,0,2.14,3.55,3.35,231,1,5,3,1,9,1
7,FUL,WHU,0-0,0,0,2.9,3.65,2.35,147,x,1,4,2,7,0
8,NOT,LIV,0-0,0,0,3.55,4.25,1.88,78,x,1,4,2,7,0
9,SHU,NEW,1-0,1,2,3.95,3.8,1.89,131,2,1,0,5,6,1
10,WOL,TOT,0-3,0,3,3.0,3.65,2.3,216,2,2,1,4,7,1
1,BHA,CRY,1-0,1,0,1.71,4.05,4.65,356,1,4,2,1,7,1
2,BOU,BRE,0-1,0,1,2.9,3.35,2.5,63,2,1,2,5,8,1
3,BUR,MCI,1-3,2,4,4.55,4.15,1.71,271,2,0,0,4,4,1
4,CHE,LUT,0-0,2,1,1.39,5.0,7.75,100,1,5,1,1,7,1
5,LIV,ARS,1-0,1,1,2.2,4.1,2.9,121,x,1,4,0,5,0
6,MUN,EVE,1-0,2,1,1.69,4.2,4.65,130,1,4,1,1,6,1
7,NEW,TOT,0-0,0,0,2.06,3.85,3.3,310,x,2,2,0,4,0
8,SHU,NOT,1-1,1,1,2.3,3.65,3.0,141,x,1,2,2,5,0
9,WHU,AST,0-0,1,1,2.35,3.65,2.9,79,x,4,4,0,8,0
10,WOL,FUL,0-3,0,4,2.04,3.65,3.55,203,2,2,1,1,4,1
1,BHA,AST,1-1,3,2,2.08,3.75,3.35,193,1,6,1,3,10,1
2,BOU,TOT,1-2,2,2,3.9,3.8,1.89,32,x,3,1,3,7,0
3,BRE,MUN,0-0,0,0,2.95,3.7,2.3,351,x,1,1,3,5,0
4,CHE,MCI,1-1,4,3,2.3,3.85,2.8,211,1,1,2,2,5,1
5,CRY,SHU,0-0,1,1,1.77,3.85,4.5,207,x,3,3,0,6,0
6,EVE,BUR,3-0,4,1,1.79,3.75,4.55,368,1,4,0,0,4,1
7,LUT,WHU,0-0,0,0,3.55,3.65,2.04,5,x,1,1,5,7,0
8,NEW,FUL,1-0,1,2,1.53,4.5,5.75,27,2,5,1,2,8,1
9,NOT,ARS,1-0,2,1,3.95,4.1,1.82,357,1,3,0,1,4,1
10,WOL,LIV,0-0,2,0,3.05,3.9,2.17,345,1,2,0,2,4,1
1,AST,TOT,1-0,1,0,2.15,3.8,3.15,270,1,3,2,3,8,1
2,BHA,CRY,0-0,0,0,1.71,4.05,4.65,356,x,4,2,1,7,0
3,BRE,MCI,0-0,1,3,3.4,3.7,2.08,369,2,0,0,1,1,1
4,CHE,SHU,0-0,2,0,1.43,4.75,7.25,350,1,4,0,1,5,1
5,EVE,ARS,0-0,0,0,3.0,3.6,2.3,212,x,1,2,1,4,0
6,FUL,BUR,1-0,1,0,2.0,3.7,3.65,172,1,2,2,1,5,1
7,LIV,NOT,0-0,1,0,1.41,5.5,6.5,222,1,4,2,0,6,1
8,LUT,NEW,0-1,0,2,4.2,3.85,1.82,306,2,0,0,3,3,1
9,MUN,WOL,0-0,2,0,1.57,4.5,5.5,26,1,6,1,1,8,1
10,WHU,BOU,0-0,0,0,1.56,4.25,5.75,358,x,2,1,0,3,0
1,AST,WHU,0-1,1,1,1.99,3.8,3.6,115,x,2,2,0,4,0
2,CHE,BHA,0-0,0,1,2.08,3.75,3.35,81,2,0,1,5,6,1
3,FUL,ARS,2-0,6,1,3.7,3.95,1.92,235,1,2,0,3,5,1
4,LUT,BUR,1-1,3,3,2.35,3.45,3.05,223,x,2,1,0,3,0
5,MCI,WOL,0-0,0,0,1.48,4.7,6.25,76,x,4,4,1,9,0
6,MUN,LIV,0-2,1,5,1.97,4.35,3.25,179,2,3,1,2,6,1
7,NEW,BOU,0-0,3,0,1.43,4.75,7.25,247,1,4,0,1,5,1
8,NOT,EVE,0-0,1,1,2.7,3.6,2.55,242,x,0,2,2,4,0
9,SHU,BRE,0-1,0,1,2.85,3.35,2.55,284,2,2,2,2,6,1
10,TOT,CRY,2-0,3,0,1.71,4.15,4.5,103,1,7,0,0,7,1
1,ARS,LUT,0-0,1,0,1.35,5.25,8.5,20,1,6,1,0,7,1
2,BHA,BRE,0-1,0,1,1.75,3.85,4.7,354,2,2,0,1,3,1
3,BUR,BOU,1-2,1,3,2.13,3.5,3.45,370,2,2,0,2,4,1
4,CHE,TOT,0-0,1,1,2.01,3.9,3.4,120,x,2,2,3,7,0
5,CRY,WHU,0-0,0,0,2.5,3.6,2.7,219,x,4,1,1,6,0
6,EVE,FUL,1-2,1,4,1.9,3.7,4.0,326,2,3,1,1,5,1
7,LIV,MCI,1-0,3,1,2.35,4.15,2.65,173,1,2,1,1,4,1
8,MUN,NOT,0-0,2,0,1.41,5.25,6.75,7,1,7,0,0,7,1
9,NEW,AST,0-1,2,3,2.05,3.8,3.35,320,2,2,2,2,6,1
10,SHU,WOL,2-0,3,0,2.65,3.4,2.65,277,1,2,1,1,4,1
1,ARS,AST,1-1,1,1,1.92,3.95,3.65,87,x,2,2,3,7,0
2,BOU,EVE,0-0,0,0,3.0,3.4,2.4,154,x,0,2,2,4,0
3,CRY,BUR,0-0,1,0,1.79,3.85,4.35,13,1,4,3,2,9,1
4,FUL,LUT,0-0,1,1,1.9,3.75,3.95,340,x,4,1,1,6,0
5,LIV,BHA,2-1,3,1,2.07,4.0,3.15,232,1,4,3,1,8,1
6,MUN,SHU,2-0,3,2,1.4,5.25,7.25,167,1,5,0,1,6,1
7,NEW,CHE,0-0,0,0,2.18,3.8,3.1,353,x,1,2,1,4,0
8,NOT,MCI,0-1,0,1,4.3,4.3,1.72,275,2,2,0,5,7,1
9,WHU,BRE,0-0,0,0,1.91,3.65,4.0,49,x,6,1,1,8,0
10,WOL,TOT,1-2,1,2,3.0,3.65,2.3,216,2,2,1,4,7,1
1,ARS,CRY,1-0,1,1,1.59,4.4,5.25,50,x,3,3,0,6,0
2,AST,EVE,1-0,1,0,1.82,3.8,4.25,98,1,4,1,1,6,1
3,CHE,BUR,0-2,2,2,1.44,4.75,7.0,240,x,3,1,0,4,0
4,FUL,BOU,0-1,1,1,1.94,3.7,3.85,250,x,2,2,2,6,0
5,LUT,NOT,0-0,1,0,2.4,3.65,2.85,16,1,4,1,1,6,1
6,MUN,BHA,0-0,1,0,2.04,3.95,3.3,174,1,4,3,3,10,1
7,NEW,BRE,1-1,3,3,1.72,3.95,4.75,102,x,3,2,0,5,0
8,SHU,MCI,0-1,2,2,4.7,4.15,1.69,315,x,1,2,3,6,0
9,TOT,LIV,2-0,4,0,2.1,4.1,3.05,18,1,2,2,3,7,1
10,WOL,WHU,0-1,0,1,2.7,3.55,2.55,133,2,0,1,5,6,1
1,AST,FUL,1-0,1,2,1.58,4.35,5.5,61,2,2,2,1,5,1
2,BHA,MCI,1-0,1,0,2.4,3.8,2.75,153,1,2,2,0,4,1
3,BOU,LUT,0-0,0,1,2.17,3.5,3.35,135,2,2,1,5,8,1
4,BUR,BRE,0-1,0,1,2.8,3.35,2.6,332,2,1,2,1,4,1
5,CHE,ARS,1-0,3,2,2.19,3.85,3.05,33,1,6,1,2,9,1
6,EVE,CRY,0-0,1,0,2.14,3.55,3.35,231,1,5,3,1,9,1
7,MUN,TOT,0-0,1,0,1.98,4.1,3.35,114,1,3,1,1,5,1
8,NEW,WOL,1-0,1,0,1.63,4.15,5.25,140,1,5,1,2,8,1
9,NOT,SHU,0-1,0,1,2.03,3.7,3.5,38,2,7,0,2,9,1
10,WHU,LIV,0-1,0,2,2.35,3.95,2.75,68,2,5,0,2,7,1
1,ARS,TOT,0-2,2,3,1.93,4.0,3.6,70,2,3,0,2,5,1
2,AST,LUT,1-0,2,0,1.45,4.65,7.0,204,1,3,2,1,6,1
3,BOU,CHE,1-1,3,2,4.2,3.85,1.82,88,1,2,2,5,9,1
4,BUR,WOL,1-0,2,1,2.6,3.45,2.7,155,1,4,1,2,7,1
5,EVE,CRY,0-0,1,1,2.14,3.55,3.35,231,x,5,3,1,9,0
6,FUL,BHA,0-1,2,1,3.4,3.7,2.08,260,1,3,1,3,7,1
7,MCI,MUN,0-0,1,0,1.86,4.3,3.65,139,1,5,3,0,8,1
8,NEW,WHU,1-1,2,2,1.91,3.9,3.75,168,x,2,2,2,6,0
9,NOT,BRE,0-2,0,3,2.6,3.55,2.65,56,2,4,2,1,7,1
10,SHU,LIV,0-2,0,3,3.9,4.1,1.83,196,2,3,1,4,8,1
1,ARS,NOT,1-1,3,2,1.39,5.25,7.25,311,1,3,1,0,4,1
2,BHA,AST,0-0,1,0,2.08,3.75,3.35,193,1,6,1,3,10,1
3,BOU,LIV,0-0,0,2,4.05,4.15,1.8,333,2,1,1,2,4,1
4,BUR,NEW,0-0,0,0,3.85,3.8,1.92,119,x,2,2,4,8,0
5,CRY,CHE,1-1,1,4,2.95,3.7,2.3,234,2,2,0,2,4,1
6,LUT,BRE,0-0,1,0,3.0,3.35,2.4,214,1,3,0,0,3,1
7,MCI,WOL,1-1,1,1,1.48,4.7,6.25,76,x,4,4,1,9,0
8,MUN,EVE,2-0,2,1,1.69,4.2,4.65,130,1,4,1,1,6,1
9,SHU,FUL,1-0,1,1,2.45,3.5,2.85,95,x,1,1,2,4,0
10,WHU,TOT,0-1,0,2,2.35,3.7,2.85,292,2,1,4,2,7,1
1,ARS,BRE,3-0,5,2,1.63,4.15,5.25,301,1,2,1,0,3,1
2,BOU,FUL,1-0,1,1,2.5,3.5,2.8,210,x,2,3,2,7,0
3,LIV,CRY,3-0,4,1,1.63,4.5,4.7,213,1,6,2,0,8,1
4,LUT,BHA,0-0,2,0,4.15,3.8,1.85,128,1,3,2,1,6,1
5,MUN,CHE,0-1,1,1,2.09,4.0,3.15,331,x,2,1,1,4,0
6,NEW,MCI,2-0,2,0,2.4,3.85,2.75,263,1,3,1,1,5,1
7,NOT,WHU,1-0,3,0,3.1,3.75,2.19,267,1,3,1,1,5,1
8,SHU,AST,0-0,0,1,3.75,3.7,1.96,158,2,3,0,3,6,1
9,TOT,BUR,2-0,2,2,1.48,4.6,6.5,197,x,1,2,3,6,0
10,WOL,EVE,1-2,1,2,2.45,3.4,2.95,182,2,4,2,5,11,1
1,BHA,SHU,2-2,3,2,1.47,4.55,6.75,218,1,5,0,1,6,1
2,BOU,LUT,0-1,1,3,2.17,3.5,3.35,135,2,2,1,5,8,1
3,BUR,ARS,1-0,2,0,4.2,3.95,1.8,349,1,2,1,1,4,1
4,CHE,NEW,0-0,2,0,2.07,3.85,3.3,3,1,4,0,0,4,1
5,CRY,AST,1-0,2,0,2.75,3.65,2.45,334,1,3,0,1,4,1
6,EVE,TOT,0-0,0,2,2.75,3.55,2.5,45,2,2,3,2,7,1
7,MCI,NOT,2-0,3,0,1.34,5.75,8.0,94,1,4,1,1,6,1
8,MUN,FUL,1-0,3,2,1.47,4.9,6.0,122,1,7,0,0,7,1
9,WHU,BRE,1-0,2,0,1.91,3.65,4.0,49,1,6,1,1,8,1
10,WOL,LIV,0-3,1,4,3.05,3.9,2.17,345,2,2,0,2,4,1
1,BHA,NEW,0-0,0,0,2.15,3.75,3.2,253,x,2,1,2,5,0
2,BOU,WOL,1-1,1,1,2.7,3.4,2.6,257,x,1,1,1,3,0
3,BUR,BRE,1-0,3,0,2.8,3.35,2.6,332,1,1,2,1,4,1
4,CHE,ARS,2-1,3,1,2.19,3.85,3.05,33,1,6,1,2,9,1
5,EVE,WHU,0-0,0,0,2.5,3.5,2.8,287,x,2,2,0,4,0
6,FUL,TOT,1-0,2,1,3.25,3.8,2.1,108,1,3,0,5,8,1
7,LIV,AST,0-0,0,1,2.0,4.1,3.3,138,2,1,1,2,4,1
8,LUT,MUN,0-2,1,3,4.3,4.15,1.74,93,2,2,1,2,5,1
9,MCI,SHU,1-1,1,1,1.33,5.5,8.75,298,x,4,2,0,6,0
10,NOT,CRY,0-0,1,1,2.55,3.75,2.6,123,x,0,2,2,4,0
1,BHA,AST,0-0,0,1,2.08,3.75,3.35,193,2,6,1,3,10,1
2,BOU,LIV,0-1,0,1,4.05,4.15,1.8,333,2,1,1,2,4,1
3,BRE,SHU,1-0,2,0,1.83,3.65,4.45,2,1,4,0,0,4,1
4,CRY,FUL,1-1,1,1,1.9,3.85,3.85,137,x,2,1,3,6,0
5,EVE,NEW,1-1,2,1,2.8,3.55,2.45,194,1,3,0,2,5,1
6,MCI,LUT,1-0,3,0,1.3,5.75,9.5,55,1,6,0,0,6,1
7,MUN,ARS,1-0,3,0,2.16,4.05,3.0,262,1,4,2,1,7,1
