game_no,Home_team,Away_team,half_time_score,home_score,away_score,home_odds,draw_odds,away_odds,game_id,outcome,home_wins,draws_no,away_wins,game_count,1/2
4,LUT,BHA,1-1,3,4,4.15,3.8,1.85,128,2,3,2,1,6,1
5,NEW,ARS,0-0,1,0,2.25,3.8,2.95,266,1,3,1,3,7,1
6,NOT,FUL,1-0,1,2,2.23,3.75,3.0,272,2,4,1,2,7,1
7,SHU,BUR,1-1,1,1,2.25,3.45,3.2,215,x,0,4,0,4,0
8,TOT,MCI,1-2,1,5,2.45,3.9,2.65,281,2,2,1,2,5,1
9,WHU,BOU,2-0,5,0,1.56,4.25,5.75,358,1,2,1,0,3,1
10,WOL,BRE,0-0,0,0,2.35,3.4,3.05,377,x,0,1,0,1,0
1,ARS,CHE,1-0,1,0,2.03,3.9,3.35,124,1,4,1,1,6,1
2,BOU,AST,0-0,1,0,3.85,3.75,1.93,264,1,2,0,1,3,1
3,BRE,SHU,0-0,1,0,1.83,3.65,4.45,2,1,4,0,0,4,1
4,BUR,LUT,1-0,2,0,2.08,3.55,3.55,256,1,4,0,3,7,1
5,FUL,WHU,0-0,0,0,2.9,3.65,2.35,147,x,1,4,2,7,0
6,LIV,NEW,1-1,2,1,2.07,4.1,3.15,92,1,5,0,1,6,1
7,MCI,NOT,1-2,1,3,1.34,5.75,8.0,94,2,4,1,1,6,1
8,MUN,BHA,0-1,1,1,2.04,3.95,3.3,174,x,4,3,3,10,0
9,TOT,CRY,2-0,3,0,1.71,4.15,4.5,103,1,7,0,0,7,1
10,WOL,EVE,1-0,3,2,2.45,3.4,2.95,182,1,4,2,5,11,1
1,AST,FUL,0-0,1,0,1.58,4.35,5.5,61,1,2,2,1,5,1
2,BOU,ARS,0-0,1,0,4.45,4.0,1.75,143,1,2,2,5,9,1
3,BRE,BUR,0-0,1,0,1.85,3.65,4.35,23,1,3,1,3,7,1
4,LIV,CHE,2-0,4,0,2.12,4.05,3.05,314,1,3,1,1,5,1
5,LUT,MUN,0-1,1,4,4.3,4.15,1.74,93,2,2,1,2,5,1
6,MCI,WHU,1-1,1,2,1.7,4.25,4.5,190,2,1,2,1,4,1
7,NOT,CRY,0-1,0,1,2.55,3.75,2.6,123,2,0,2,2,4,1
8,SHU,EVE,3-2,5,2,2.95,3.4,2.45,57,1,2,1,2,5,1
9,TOT,BHA,2-0,5,0,2.18,3.75,3.15,8,1,4,1,2,7,1
10,WOL,NEW,0-1,1,1,3.1,3.65,2.22,238,x,1,3,0,4,0
1,ARS,FUL,2-0,3,1,1.45,4.85,6.5,0,1,5,0,1,6,1
2,AST,MCI,0-0,1,3,2.5,3.8,2.6,10,2,3,2,2,7,1
3,CHE,WOL,1-0,2,0,1.6,4.25,5.5,53,1,3,4,0,7,1
4,EVE,BRE,0-1,1,1,2.18,3.4,3.45,259,x,3,1,1,5,0
5,LIV,BOU,1-0,3,0,1.38,5.25,7.5,279,1,5,0,2,7,1
6,LUT,TOT,0-2,0,2,4.05,3.85,1.85,328,2,0,1,4,5,1
7,MUN,BUR,1-0,3,0,1.41,5.0,7.0,319,1,6,0,0,6,1
8,NOT,BHA,1-0,1,0,3.6,3.85,1.97,252,1,1,2,1,4,1
9,SHU,NEW,3-1,4,2,3.95,3.8,1.89,131,1,1,0,5,6,1
10,WHU,CRY,0-1,3,1,1.88,3.85,3.95,159,1,3,2,1,6,1
1,BOU,EVE,1-1,1,2,3.0,3.4,2.4,154,2,0,2,2,4,1
2,BRE,FUL,1-0,1,0,1.96,3.65,3.85,187,1,1,3,0,4,1
3,LIV,BHA,2-1,2,2,2.07,4.0,3.15,232,x,4,3,1,8,0
4,LUT,ARS,0-2,0,4,4.6,4.05,1.71,156,2,2,2,1,5,1
5,MCI,SHU,1-0,1,0,1.33,5.5,8.75,298,1,4,2,0,6,1
6,MUN,AST,2-1,2,1,1.97,4.05,3.45,191,1,2,1,4,7,1
7,NEW,CHE,0-2,0,3,2.18,3.8,3.1,353,2,1,2,1,4,1
8,NOT,BUR,2-0,4,0,2.06,3.75,3.4,180,1,3,2,1,6,1
9,TOT,WHU,2-1,7,1,1.95,3.85,3.65,142,1,2,1,2,5,1
10,WOL,CRY,2-0,5,0,2.3,3.55,3.0,69,1,5,2,1,8,1
1,ARS,MUN,0-1,1,4,1.97,4.15,3.35,97,2,2,0,1,3,1
2,BHA,WOL,1-0,4,0,1.65,4.05,5.0,116,1,4,0,0,4,1
3,BUR,CHE,0-0,0,0,4.0,3.8,1.88,64,x,0,3,5,8,0
4,EVE,FUL,0-0,2,2,1.9,3.7,4.0,326,x,3,1,1,5,0
5,LUT,LIV,1-0,1,0,4.15,4.2,1.76,236,1,2,0,2,4,1
6,MCI,BRE,2-0,3,1,1.55,4.4,5.75,309,1,4,0,2,6,1
7,NEW,BOU,1-0,1,0,1.43,4.75,7.25,247,1,4,0,1,5,1
8,NOT,WHU,1-0,2,0,3.1,3.75,2.19,267,1,3,1,1,5,1
9,SHU,CRY,0-1,1,2,2.85,3.5,2.45,175,2,1,2,2,5,1
10,TOT,AST,1-0,2,0,2.1,3.8,3.25,254,1,1,2,2,5,1
1,ARS,TOT,0-1,1,2,1.93,4.0,3.6,70,2,3,0,2,5,1
2,AST,NOT,2-0,4,0,1.51,4.65,6.0,321,1,3,0,0,3,1
3,BOU,CHE,0-1,0,3,4.2,3.85,1.82,88,2,2,2,5,9,1
4,BRE,CRY,0-0,0,1,2.21,3.5,3.25,285,2,2,1,3,6,1
5,BUR,WHU,1-3,2,5,3.3,3.6,2.16,111,2,3,1,3,7,1
6,EVE,MCI,1-1,3,1,3.25,3.7,2.14,34,1,3,2,3,8,1
7,LIV,MUN,1-0,1,1,2.07,4.3,3.05,148,x,0,2,3,5,0
8,LUT,WOL,1-1,1,2,2.8,3.45,2.55,36,2,2,2,2,6,1
9,NEW,FUL,0-0,0,1,1.53,4.5,5.75,27,2,5,1,2,8,1
10,SHU,BHA,0-1,0,2,3.95,3.7,1.92,17,2,1,1,3,5,1
1,ARS,AST,2-1,2,1,1.92,3.95,3.65,87,1,2,2,3,7,1
2,BHA,NEW,0-0,3,0,2.15,3.75,3.2,253,1,2,1,2,5,1
3,BRE,MUN,0-1,1,2,2.95,3.7,2.3,351,2,1,1,3,5,1
4,BUR,FUL,0-0,0,1,2.4,3.55,2.9,73,2,1,4,1,6,1
5,CRY,CHE,0-0,3,1,2.95,3.7,2.3,234,1,2,0,2,4,1
6,EVE,LUT,1-0,2,0,1.71,3.85,4.95,165,1,5,3,0,8,1
7,MCI,BOU,3-0,4,2,1.32,5.5,9.25,363,1,3,0,1,4,1
8,NOT,WOL,2-1,2,2,2.45,3.65,2.8,318,x,1,1,2,4,0
9,SHU,TOT,0-0,1,0,3.8,3.8,1.93,181,1,2,0,3,5,1
10,WHU,LIV,3-0,5,1,2.35,3.95,2.75,68,1,5,0,2,7,1
1,AST,MUN,1-0,1,1,2.21,3.95,2.95,361,x,1,2,2,5,0
2,BHA,LUT,3-0,4,0,1.43,4.75,7.25,105,1,7,1,0,8,1
3,BOU,TOT,1-0,2,0,3.9,3.8,1.89,32,1,3,1,3,7,1
4,CRY,WHU,1-0,3,0,2.5,3.6,2.7,219,1,4,1,1,6,1
5,EVE,CHE,0-1,0,2,2.9,3.55,2.4,14,2,1,1,3,5,1
6,FUL,SHU,2-0,3,0,1.97,3.65,3.75,296,1,1,0,2,3,1
7,LIV,BRE,0-0,1,0,1.67,4.25,4.7,208,1,3,1,0,4,1
8,MCI,NEW,3-0,5,0,1.87,4.1,3.75,85,1,4,1,1,6,1
9,NOT,BUR,2-0,3,1,2.06,3.75,3.4,180,1,3,2,1,6,1
10,WOL,ARS,0-0,0,1,3.35,3.75,2.07,305,2,2,1,2,5,1
1,AST,ARS,1-1,1,1,2.35,3.75,2.8,335,x,1,2,1,4,0
2,BRE,WHU,0-3,0,4,2.6,3.45,2.7,89,2,3,0,4,7,1
3,BUR,CHE,1-0,1,1,4.0,3.8,1.88,64,x,0,3,5,8,0
4,EVE,WOL,0-0,0,0,2.04,3.5,3.65,323,x,2,1,1,4,0
5,FUL,MUN,0-0,0,2,3.45,4.0,1.97,195,2,0,2,3,5,1
6,LIV,SHU,0-1,5,2,1.4,5.25,7.0,261,1,6,3,0,9,1
7,LUT,CRY,0-0,0,0,2.95,3.55,2.35,149,x,2,3,1,6,0
8,MCI,BOU,1-0,1,0,1.32,5.5,9.25,363,1,3,0,1,4,1
9,NEW,NOT,1-1,1,2,1.46,4.85,6.25,365,2,2,1,2,5,1
10,TOT,BHA,3-0,3,2,2.18,3.75,3.15,8,1,4,1,2,7,1
1,ARS,EVE,0-1,2,1,1.66,4.1,4.95,248,1,3,0,1,4,1
2,BRE,WOL,0-0,1,1,2.12,3.45,3.5,282,x,5,2,2,9,0
3,BUR,MUN,2-0,2,1,3.95,4.05,1.84,273,1,1,2,3,6,1
4,CHE,SHU,1-0,3,1,1.43,4.75,7.25,350,1,4,0,1,5,1
5,CRY,AST,0-0,3,0,2.75,3.65,2.45,334,1,3,0,1,4,1
6,FUL,BHA,0-0,1,2,3.4,3.7,2.08,260,2,3,1,3,7,1
7,LIV,BOU,3-0,3,1,1.38,5.25,7.5,279,1,5,0,2,7,1
8,MCI,LUT,2-1,2,1,1.3,5.75,9.5,55,1,6,0,0,6,1
9,TOT,NOT,1-1,3,3,1.48,4.8,6.0,29,x,2,4,1,7,0
10,WHU,NEW,0-1,0,1,2.4,3.7,2.75,39,2,1,1,2,4,1
1,ARS,CHE,0-1,1,1,2.03,3.9,3.35,124,x,4,1,1,6,0
2,CRY,LIV,1-1,2,3,2.8,3.95,2.3,249,2,2,0,2,4,1
3,EVE,BUR,0-1,2,1,1.79,3.75,4.55,368,1,4,0,0,4,1
4,FUL,BRE,0-0,1,0,2.5,3.45,2.8,35,1,2,3,1,6,1
5,LUT,BOU,0-0,0,1,2.25,3.45,3.2,302,2,2,1,2,5,1
6,MCI,NOT,2-0,6,0,1.34,5.75,8.0,94,1,4,1,1,6,1
7,MUN,WOL,0-0,0,0,1.57,4.5,5.5,26,x,6,1,1,8,0
8,NEW,TOT,1-1,2,1,2.06,3.85,3.3,310,1,2,2,0,4,1
9,SHU,AST,1-0,1,0,3.75,3.7,1.96,158,1,3,0,3,6,1
10,WHU,BHA,0-0,0,0,2.45,3.6,2.8,59,x,2,2,3,7,0
1,ARS,LUT,3-0,4,1,1.35,5.25,8.5,20,1,6,1,0,7,1
2,BHA,NOT,1-0,1,0,1.48,4.7,6.25,62,1,4,3,1,8,1
3,BUR,LIV,0-2,0,3,3.8,4.1,1.86,43,2,0,1,4,5,1
4,CHE,FUL,0-2,0,3,1.5,4.6,6.0,206,2,3,0,1,4,1
5,CRY,BOU,0-0,0,0,1.74,3.9,4.65,126,x,3,3,1,7,0
6,NEW,BRE,0-0,3,0,1.72,3.95,4.75,102,1,3,2,0,5,1
7,SHU,MCI,0-0,0,1,4.7,4.15,1.69,315,2,1,2,3,6,1
8,TOT,MUN,1-0,1,0,2.17,4.0,3.0,58,1,5,0,1,6,1
9,WHU,EVE,2-0,2,0,1.96,3.65,3.8,347,1,4,0,1,5,1
10,WOL,AST,2-0,2,1,3.0,3.6,2.3,289,1,1,2,1,4,1
1,ARS,CRY,0-0,0,0,1.59,4.4,5.25,50,x,3,3,0,6,0
2,AST,TOT,0-1,0,1,2.15,3.8,3.15,270,2,3,2,3,8,1
3,BOU,BUR,2-1,4,1,2.3,3.45,3.1,329,1,4,0,0,4,1
4,BRE,MUN,1-1,2,1,2.95,3.7,2.3,351,1,1,1,3,5,1
5,EVE,BHA,1-0,2,1,2.8,3.45,2.5,146,1,3,0,0,3,1
6,FUL,LUT,2-1,5,2,1.9,3.75,3.95,340,1,4,1,1,6,1
7,NEW,CHE,0-0,2,2,2.18,3.8,3.1,353,x,1,2,1,4,0
8,NOT,SHU,1-1,2,1,2.03,3.7,3.5,38,1,7,0,2,9,1
9,WHU,LIV,2-1,5,2,2.35,3.95,2.75,68,1,5,0,2,7,1
10,WOL,MCI,1-1,3,2,3.65,3.85,1.96,312,1,1,2,0,3,1
1,AST,MUN,0-1,1,2,2.21,3.95,2.95,361,2,1,2,2,5,1
2,BOU,ARS,0-2,0,3,4.45,4.0,1.75,143,2,2,2,5,9,1
3,BRE,WOL,0-2,0,3,2.12,3.45,3.5,282,2,5,2,2,9,1
4,CRY,BUR,1-1,2,1,1.79,3.85,4.35,13,1,4,3,2,9,1
5,EVE,MCI,1-1,2,5,3.25,3.7,2.14,34,2,3,2,3,8,1
6,LIV,NEW,1-0,2,0,2.07,4.1,3.15,92,1,5,0,1,6,1
7,LUT,WHU,0-1,0,1,3.55,3.65,2.04,5,2,1,1,5,7,1
8,NOT,CHE,0-0,0,0,3.75,4.0,1.9,371,x,1,1,0,2,0
9,SHU,FUL,1-1,2,3,2.45,3.5,2.85,95,2,1,1,2,4,1
10,TOT,BHA,1-0,1,1,2.18,3.75,3.15,8,x,4,1,2,7,0
1,ARS,LUT,1-0,2,1,1.35,5.25,8.5,20,1,6,1,0,7,1
2,AST,TOT,0-1,0,1,2.15,3.8,3.15,270,2,3,2,3,8,1
3,BRE,BUR,0-1,0,1,1.85,3.65,4.35,23,2,3,1,3,7,1
4,CRY,BOU,0-1,4,3,1.74,3.9,4.65,126,1,3,3,1,7,1
5,EVE,SHU,0-1,1,3,1.77,3.75,4.7,327,2,2,0,2,4,1
6,MCI,LIV,1-0,3,3,1.8,4.4,3.8,6,x,3,2,0,5,0
7,MUN,CHE,1-1,4,1,2.09,4.0,3.15,331,1,2,1,1,4,1
8,NEW,NOT,3-2,5,5,1.46,4.85,6.25,365,x,2,1,2,5,0
9,WHU,BHA,0-1,1,3,2.45,3.6,2.8,59,2,2,2,3,7,1
10,WOL,FUL,2-0,2,1,2.04,3.65,3.55,203,1,2,1,1,4,1
1,AST,ARS,2-0,2,1,2.35,3.75,2.8,335,1,1,2,1,4,1
2,BRE,LUT,1-0,2,1,1.76,3.75,4.75,118,1,3,3,2,8,1
3,BUR,BOU,0-0,1,0,2.13,3.5,3.45,370,1,2,0,2,4,1
4,CHE,WHU,0-0,3,1,1.87,3.9,3.9,201,1,3,0,1,4,1
5,CRY,BHA,0-0,0,0,2.85,3.65,2.4,91,x,2,3,1,6,0
6,EVE,WOL,0-0,1,3,2.04,3.5,3.65,323,2,2,1,1,4,1
7,LIV,FUL,1-0,2,1,1.48,4.95,6.0,375,1,3,0,0,3,1
8,MCI,MUN,2-0,3,2,1.86,4.3,3.65,139,1,5,3,0,8,1
9,NOT,SHU,1-0,3,0,2.03,3.7,3.5,38,1,7,0,2,9,1
10,TOT,NEW,2-2,4,3,2.17,3.8,3.1,151,1,4,2,0,6,1
1,AST,TOT,0-0,0,2,2.15,3.8,3.15,270,2,3,2,3,8,1
2,BHA,LIV,0-0,1,0,2.08,4.0,3.15,161,1,4,1,2,7,1
3,BOU,BRE,0-0,0,0,2.9,3.35,2.5,63,x,1,2,5,8,0
4,BUR,SHU,0-0,1,0,2.17,3.5,3.35,145,1,2,2,1,5,1
5,CHE,EVE,0-2,1,3,1.73,3.95,4.65,136,2,5,0,2,7,1
6,CRY,ARS,3-2,3,3,3.1,3.8,2.18,164,x,2,2,3,7,0
7,LUT,MCI,0-0,1,1,5.0,4.25,1.63,288,x,1,2,4,7,0
8,MUN,NOT,2-0,2,0,1.41,5.25,6.75,7,1,7,0,0,7,1
9,NEW,FUL,0-0,3,0,1.53,4.5,5.75,27,1,5,1,2,8,1
10,WOL,WHU,1-0,1,1,2.7,3.55,2.55,133,x,0,1,5,6,0
1,ARS,BHA,0-0,1,0,1.99,3.85,3.5,134,1,2,1,1,4,1
2,BOU,BUR,0-0,1,0,2.3,3.45,3.1,329,1,4,0,0,4,1
3,BRE,WOL,1-0,1,0,2.12,3.45,3.5,282,1,5,2,2,9,1
4,CHE,LIV,0-1,0,2,2.0,4.15,3.3,24,2,2,1,1,4,1
5,FUL,EVE,1-0,2,2,2.6,3.5,2.7,338,x,0,2,0,2,0
6,MCI,LUT,1-1,3,1,1.3,5.75,9.5,55,1,6,0,0,6,1
7,MUN,CRY,0-0,1,0,1.62,4.45,4.85,37,1,3,3,0,6,1
8,NEW,NOT,0-0,1,0,1.46,4.85,6.25,365,1,2,1,2,5,1
9,TOT,SHU,1-0,1,0,1.47,4.65,6.5,86,1,4,1,1,6,1
10,WHU,AST,0-0,1,1,2.35,3.65,2.9,79,x,4,4,0,8,0
1,BHA,AST,1-1,3,2,2.08,3.75,3.35,193,1,6,1,3,10,1
2,BRE,WHU,0-1,1,3,2.6,3.45,2.7,89,2,3,0,4,7,1
3,BUR,MUN,1-1,2,2,3.95,4.05,1.84,273,x,1,2,3,6,0
4,CHE,BOU,0-0,0,0,1.41,4.85,7.5,274,x,3,1,0,4,0
5,CRY,TOT,1-0,2,1,2.8,3.7,2.4,258,1,1,2,2,5,1
6,FUL,MCI,0-0,0,1,4.0,4.1,1.81,265,2,2,1,1,4,1
7,LIV,ARS,2-0,4,0,2.2,4.1,2.9,121,1,1,4,0,5,1
8,NEW,WOL,1-0,2,0,1.63,4.15,5.25,140,1,5,1,2,8,1
9,NOT,LUT,0-0,1,2,1.95,3.8,3.7,185,2,3,2,3,8,1
10,SHU,EVE,0-0,0,0,2.95,3.4,2.45,57,x,2,1,2,5,0
1,ARS,NEW,1-0,1,0,1.98,3.95,3.5,228,1,3,0,2,5,1
2,BHA,BRE,0-0,1,0,1.75,3.85,4.7,354,1,2,0,1,3,1
3,BOU,WOL,1-1,3,1,2.7,3.4,2.6,257,1,1,1,1,3,1
4,CHE,LUT,1-0,2,1,1.39,5.0,7.75,100,1,5,1,1,7,1
5,CRY,SHU,0-2,3,2,1.77,3.85,4.5,207,1,3,3,0,6,1
6,EVE,AST,0-0,1,0,2.7,3.5,2.55,220,1,3,1,3,7,1
7,FUL,BUR,3-1,3,1,2.0,3.7,3.65,172,1,2,2,1,5,1
8,LIV,WHU,1-2,1,4,1.85,4.2,3.75,241,2,0,0,3,3,1
9,NOT,MUN,1-0,4,0,3.7,4.2,1.86,343,1,3,1,3,7,1
10,TOT,MCI,1-3,2,4,2.45,3.9,2.65,281,2,2,1,2,5,1
1,ARS,WHU,1-2,2,2,1.79,4.05,4.15,366,x,1,1,1,3,0
2,AST,MCI,2-0,2,0,2.5,3.8,2.6,10,1,3,2,2,7,1
3,BHA,CHE,0-0,1,1,2.21,3.7,3.1,367,x,0,2,1,3,0
4,BUR,TOT,0-2,1,2,3.7,3.8,1.95,162,2,3,1,3,7,1
5,CRY,FUL,2-1,4,3,1.9,3.85,3.85,137,1,2,1,3,6,1
6,EVE,LUT,1-0,1,0,1.71,3.85,4.95,165,1,5,3,0,8,1
7,LIV,WOL,0-1,2,2,1.58,4.55,5.25,362,x,4,1,0,5,0
8,MUN,BRE,3-2,3,2,1.65,4.2,4.9,157,1,3,0,2,5,1
9,NEW,SHU,2-0,2,1,1.45,4.65,7.0,109,1,2,2,2,6,1
10,NOT,BOU,0-2,1,3,1.99,3.75,3.6,364,2,3,0,1,4,1
1,AST,TOT,0-0,0,0,2.15,3.8,3.15,270,x,3,2,3,8,0
2,BOU,BRE,0-0,1,1,2.9,3.35,2.5,63,x,1,2,5,8,0
3,BUR,BHA,1-0,2,1,3.8,3.7,1.94,373,1,1,0,2,3,1
4,CHE,NOT,1-0,1,0,1.44,4.95,6.75,171,1,4,1,2,7,1
5,EVE,WHU,0-0,2,0,2.5,3.5,2.8,287,1,2,2,0,4,1
6,LIV,CRY,1-0,4,1,1.63,4.5,4.7,213,1,6,2,0,8,1
7,LUT,FUL,0-0,1,0,2.55,3.5,2.7,283,1,2,1,1,4,1
8,MUN,NEW,0-0,1,1,2.04,4.05,3.25,251,x,0,2,2,4,0
9,SHU,ARS,0-0,0,0,4.35,3.95,1.78,186,x,2,1,0,3,0
10,WOL,MCI,0-0,0,0,3.65,3.85,1.96,312,x,1,2,0,3,0
1,BHA,MUN,1-1,1,1,2.14,3.9,3.1,243,x,2,1,0,3,0
2,BUR,MCI,0-0,1,3,4.55,4.15,1.71,271,2,0,0,4,4,1
3,CHE,AST,0-1,2,1,2.01,3.85,3.5,225,1,4,2,1,7,1
4,CRY,ARS,0-0,0,1,3.1,3.8,2.18,164,2,2,2,3,7,1
5,LIV,FUL,0-0,3,1,1.48,4.95,6.0,375,1,3,0,0,3,1
6,NEW,LUT,2-1,4,2,1.41,4.9,7.5,324,1,3,2,0,5,1
7,SHU,NOT,1-0,1,1,2.3,3.65,3.0,141,x,1,2,2,5,0
8,TOT,BOU,0-0,1,0,1.45,4.7,7.0,307,1,2,1,0,3,1
9,WHU,BRE,2-0,3,0,1.91,3.65,4.0,49,1,6,1,1,8,1
10,WOL,EVE,1-3,2,3,2.45,3.4,2.95,182,2,4,2,5,11,1
1,ARS,FUL,1-1,2,3,1.45,4.85,6.5,0,2,5,0,1,6,1
2,AST,SHU,2-0,7,3,1.49,4.5,6.5,290,1,5,0,0,5,1
3,BOU,CHE,0-0,0,1,4.2,3.85,1.82,88,2,2,2,5,9,1
4,BRE,WOL,1-0,1,0,2.12,3.45,3.5,282,1,5,2,2,9,1
5,CRY,NOT,0-0,0,0,1.8,4.05,4.1,303,x,2,1,1,4,0
6,LUT,BHA,0-0,1,1,4.15,3.8,1.85,128,x,3,2,1,6,0
7,MCI,EVE,0-1,4,2,1.58,4.35,5.5,246,1,2,1,0,3,1
8,MUN,BUR,0-1,4,2,1.41,5.0,7.0,319,1,6,0,0,6,1
9,NEW,LIV,0-0,0,1,2.05,4.1,3.2,330,2,3,0,2,5,1
10,WHU,TOT,0-0,1,1,2.35,3.7,2.85,292,x,1,4,2,7,0
1,BOU,SHU,2-1,3,1,2.25,3.45,3.2,117,1,1,0,2,3,1
2,BRE,EVE,0-0,0,0,2.3,3.35,3.15,72,x,5,4,1,10,0
3,BUR,LUT,1-0,2,0,2.08,3.55,3.55,256,1,4,0,3,7,1
4,CRY,AST,0-0,2,0,2.75,3.65,2.45,334,1,3,0,1,4,1
5,LIV,BHA,1-0,1,1,2.07,4.0,3.15,232,x,4,3,1,8,0
6,MUN,MCI,0-0,2,0,2.3,4.05,2.75,46,1,1,2,2,5,1
7,NEW,ARS,1-0,1,0,2.25,3.8,2.95,266,1,3,1,3,7,1
8,NOT,FUL,0-0,4,0,2.23,3.75,3.0,272,1,4,1,2,7,1
9,WHU,CHE,0-1,1,3,2.5,3.65,2.7,355,2,1,2,1,4,1
10,WOL,TOT,0-1,0,1,3.0,3.65,2.3,216,2,2,1,4,7,1
1,ARS,BUR,0-0,1,1,1.4,5.0,7.5,80,x,1,1,0,2,0
2,CHE,EVE,0-1,0,2,1.73,3.95,4.65,136,2,5,0,2,7,1
3,FUL,BOU,0-1,0,1,1.94,3.7,3.85,250,2,2,2,2,6,1
4,LIV,MUN,0-1,1,2,2.07,4.3,3.05,148,2,0,2,3,5,1
5,LUT,MCI,0-3,1,4,5.0,4.25,1.63,288,2,1,2,4,7,1
6,NEW,AST,1-2,1,2,2.05,3.8,3.35,320,2,2,2,2,6,1
7,NOT,BHA,0-0,0,0,3.6,3.85,1.97,252,x,1,2,1,4,0
8,TOT,BRE,1-0,2,0,1.75,3.9,4.55,224,1,3,0,1,4,1
9,WHU,CRY,1-0,1,1,1.88,3.85,3.95,159,x,3,2,1,6,0
10,WOL,SHU,0-0,1,1,1.89,3.65,4.1,348,x,1,2,1,4,0
1,BHA,LUT,1-0,1,1,1.43,4.75,7.25,105,x,7,1,0,8,0
2,BUR,ARS,2-0,2,0,4.2,3.95,1.8,349,1,2,1,1,4,1
3,CHE,BRE,0-1,2,1,1.69,4.0,4.9,163,1,5,1,0,6,1
4,EVE,AST,0-0,2,0,2.7,3.5,2.55,220,1,3,1,3,7,1
5,LIV,CRY,0-1,2,2,1.63,4.5,4.7,213,x,6,2,0,8,0
6,MCI,BOU,2-0,3,0,1.32,5.5,9.25,363,1,3,0,1,4,1
7,NEW,MUN,2-0,2,0,2.12,4.0,3.1,77,1,2,2,2,6,1
8,NOT,TOT,0-3,1,6,3.45,3.95,1.98,202,2,0,3,1,4,1
9,SHU,WOL,0-0,1,2,2.65,3.4,2.65,277,2,2,1,1,4,1
10,WHU,FUL,1-0,2,0,2.35,3.7,2.85,339,1,3,1,0,4,1
