game_no,Home_team,Away_team,half_time_score,home_score,away_score,home_odds,draw_odds,away_odds,outcome,home_wins,draws_no,away_wins,game_count,game_id
1,CHE,LUT,1-0,1,0,1.39,5.0,7.75,1,1,1,0,2,121
2,LIV,CHE,2-1,2,2,2.12,4.05,3.05,x,0,2,0,2,140
3,CHE,WOL,2-1,2,1,1.6,4.25,5.5,1,1,0,0,1,141
4,CRY,TOT,0-0,4,0,2.8,3.7,2.4,1,2,1,0,3,124
5,CRY,NEW,0-0,2,2,2.85,3.7,2.35,x,1,1,1,3,118
6,FUL,BRE,0-1,1,1,2.5,3.45,2.8,x,1,2,0,3,142
7,CRY,TOT,1-1,3,2,2.8,3.7,2.4,1,2,1,0,3,124
8,CRY,EVE,2-0,2,1,2.25,3.55,3.15,1,1,0,0,1,143
9,CRY,NEW,0-0,1,0,2.85,3.7,2.35,1,1,1,1,3,118
10,EVE,FUL,0-1,3,1,1.9,3.7,4.0,1,2,0,1,3,102
1,CHE,CRY,0-0,2,1,1.65,4.2,4.9,1,1,1,0,2,144
2,LUT,BOU,0-2,0,2,2.25,3.45,3.2,2,0,0,1,1,145
3,BUR,EVE,0-3,1,4,2.9,3.4,2.5,2,1,1,1,3,98
4,BRE,EVE,0-1,2,1,2.9,3.35,2.5,1,1,0,0,1,146
5,EVE,AST,0-1,1,3,2.7,3.5,2.55,2,1,0,1,2,147
6,LIV,WOL,0-0,2,0,1.58,4.55,5.25,1,2,1,0,3,148
7,CHE,FUL,1-0,2,2,1.5,4.6,6.0,x,0,1,2,3,53
8,LIV,BOU,1-2,1,2,1.38,5.25,7.5,2,2,0,2,4,136
9,BUR,BRE,2-0,2,0,2.8,3.35,2.6,1,1,1,0,2,126
10,CRY,MUN,0-0,0,0,2.9,3.9,2.25,x,0,1,1,2,103
1,BUR,ARS,0-0,1,0,2.8,3.7,2.4,1,2,0,1,3,81
2,EVE,LUT,0-0,1,2,1.71,3.85,4.95,2,2,1,1,4,138
3,BUR,ARS,0-0,1,0,4.2,3.95,1.8,1,2,0,1,3,81
4,FUL,MCI,0-0,1,2,4.0,4.1,1.81,2,0,1,4,5,149
5,BOU,CRY,0-0,2,0,2.9,3.5,2.4,1,2,0,2,4,92
6,CRY,FUL,0-0,0,0,1.9,3.85,3.85,x,0,2,0,2,150
7,EVE,LUT,1-0,3,1,1.71,3.85,4.95,1,2,1,1,4,138
8,CHE,MCI,0-0,1,1,2.3,3.85,2.8,x,1,1,0,2,131
9,CRY,LIV,0-0,3,2,2.24,3.65,3.05,1,1,2,0,3,101
10,LUT,ARS,0-0,0,1,4.6,4.05,1.71,2,0,0,1,1,151
1,CHE,MUN,0-2,3,2,2.06,4.0,3.2,1,2,0,0,2,152
2,FUL,NOT,0-0,0,0,2.03,3.85,3.4,x,1,1,0,2,153
3,BUR,FUL,0-1,0,4,2.4,3.55,2.9,2,0,0,1,1,154
4,LIV,ARS,0-0,3,2,2.2,4.1,2.9,1,1,0,0,1,155
5,FUL,SHU,0-2,2,3,1.97,3.65,3.75,2,4,0,1,5,156
6,EVE,CRY,0-1,1,1,2.14,3.55,3.35,x,1,2,0,3,133
7,LUT,CRY,1-0,3,0,2.95,3.55,2.35,1,1,0,1,2,157
8,LIV,AST,0-0,0,0,2.0,4.1,3.3,x,1,3,0,4,158
9,MCI,BUR,2-0,3,2,1.34,5.5,8.5,1,2,0,0,2,159
10,MCI,EVE,0-1,1,1,1.58,4.35,5.5,x,1,1,0,2,160
1,FUL,BRE,0-1,2,2,4.0,4.1,1.81,x,1,2,0,3,142
2,CRY,BRE,1-0,3,0,2.19,3.5,3.3,1,3,0,1,4,70
3,EVE,CRY,0-0,1,0,2.14,3.55,3.35,1,1,2,0,3,133
4,LUT,CHE,1-2,1,3,4.35,3.9,1.78,2,0,2,1,3,161
5,FUL,SHU,2-0,4,0,1.97,3.65,3.75,1,4,0,1,5,156
6,EVE,ARS,0-3,1,3,3.0,3.6,2.3,2,1,0,1,2,96
7,LUT,SHU,2-0,2,0,2.3,3.45,3.1,1,1,3,0,4,162
8,EVE,BOU,2-1,4,1,1.74,3.8,4.8,1,1,2,0,3,134
9,CHE,NOT,1-0,7,1,1.44,4.95,6.75,1,1,0,0,1,163
10,CHE,WHU,0-0,1,1,1.87,3.9,3.9,x,1,1,1,3,164
1,FUL,WOL,1-0,3,0,2.35,3.55,3.0,1,2,0,1,3,165
2,CHE,BRE,1-1,1,2,1.69,4.0,4.9,2,1,0,1,2,77
3,FUL,SHU,0-0,1,0,1.97,3.65,3.75,1,4,0,1,5,156
4,FUL,WHU,0-0,2,4,2.9,3.65,2.35,2,0,0,2,2,166
5,LIV,WHU,1-0,2,0,1.85,4.2,3.75,1,3,2,0,5,167
6,LIV,FUL,2-0,3,0,1.48,4.95,6.0,1,1,1,0,2,168
7,BUR,NEW,1-1,1,2,3.85,3.8,1.92,2,1,0,1,2,106
8,FUL,BHA,1-1,1,1,3.4,3.7,2.08,x,0,3,0,3,99
9,LIV,EVE,1-1,4,1,1.7,4.25,4.5,1,1,0,0,1,169
10,CHE,BHA,2-0,2,0,2.08,3.75,3.35,1,2,0,0,2,129
1,EVE,MUN,0-0,0,2,2.85,3.75,2.35,2,1,1,1,3,122
2,LIV,BUR,1-0,1,1,1.41,5.25,7.0,x,1,2,0,3,93
3,LIV,NOT,2-2,4,2,1.41,5.5,6.5,1,1,0,0,1,170
4,MCI,NEW,0-0,1,3,1.87,4.1,3.75,2,0,0,2,2,171
5,FUL,ARS,0-1,1,2,3.7,3.95,1.92,2,1,0,1,2,172
6,LIV,WHU,0-1,2,1,1.85,4.2,3.75,1,3,2,0,5,167
7,MCI,LUT,0-0,0,1,1.3,5.75,9.5,2,1,0,2,3,173
8,MCI,BRE,2-2,4,3,1.55,4.4,5.75,1,1,1,0,2,174
9,MCI,LIV,0-2,0,3,1.8,4.4,3.8,2,0,0,1,1,175
10,CHE,LIV,0-0,0,1,2.0,4.15,3.3,2,1,0,1,2,88
1,CRY,FUL,0-0,0,0,1.9,3.85,3.85,x,0,2,0,2,150
2,CRY,WOL,2-0,3,0,2.05,3.65,3.5,1,1,0,1,2,125
3,EVE,BRE,0-0,1,1,2.18,3.4,3.45,x,0,2,0,2,176
4,EVE,AST,1-1,3,1,2.01,3.9,3.4,1,1,0,1,2,147
5,FUL,AST,0-2,0,2,3.25,3.7,2.14,2,0,0,1,1,177
6,CHE,WHU,1-1,2,3,1.87,3.9,3.9,2,1,1,1,3,164
7,LIV,AST,1-0,2,2,2.0,4.1,3.3,x,1,3,0,4,158
8,LIV,AST,1-1,1,1,2.0,4.1,3.3,x,1,3,0,4,158
9,LIV,BOU,1-2,3,2,1.38,5.25,7.5,1,2,0,2,4,136
10,MCI,LUT,0-0,0,1,2.7,3.5,2.55,2,1,0,2,3,173
1,EVE,BHA,0-0,2,0,2.8,3.45,2.5,1,1,0,1,2,178
2,FUL,BRE,1-1,2,1,2.5,3.45,2.8,1,1,2,0,3,142
3,FUL,WOL,1-0,3,0,2.35,3.55,3.0,1,2,0,1,3,165
4,LUT,WHU,0-0,0,2,3.55,3.65,2.04,2,0,0,4,4,179
5,LUT,WHU,1-3,3,4,3.55,3.65,2.04,2,0,0,4,4,179
6,CHE,ARS,2-0,4,0,2.19,3.85,3.05,1,1,0,3,4,57
7,FUL,BHA,0-1,1,1,3.4,3.7,2.08,x,0,3,0,3,99
8,CHE,WHU,1-0,1,0,1.87,3.9,3.9,1,1,1,1,3,164
9,CRY,BRE,1-0,3,0,2.19,3.5,3.3,1,3,0,1,4,70
10,BUR,CRY,1-1,2,1,3.85,3.8,1.92,1,1,0,1,2,132
1,LUT,WOL,0-2,0,2,2.8,3.45,2.55,2,1,1,1,3,180
2,LUT,WHU,0-0,0,2,3.55,3.65,2.04,2,0,0,4,4,179
3,FUL,EVE,0-1,0,1,2.6,3.5,2.7,2,0,2,1,3,181
4,EVE,CHE,1-0,1,0,2.9,3.55,2.4,1,2,1,1,4,90
5,EVE,LIV,1-0,1,1,2.75,3.8,2.4,x,0,2,1,3,130
6,CHE,FUL,0-0,0,1,1.5,4.6,6.0,2,0,1,2,3,53
7,FUL,CRY,1-1,3,1,1.97,3.65,3.75,1,1,0,0,1,182
8,EVE,LUT,1-1,1,1,1.71,3.85,4.95,x,2,1,1,4,138
9,FUL,CHE,0-2,1,4,3.5,3.8,2.0,2,0,0,2,2,183
10,LIV,WHU,0-2,2,2,1.85,4.2,3.75,x,3,2,0,5,167
1,EVE,WHU,0-0,0,0,2.5,3.5,2.8,x,0,1,1,2,184
2,FUL,SHU,4-0,4,1,1.97,3.65,3.75,1,4,0,1,5,156
3,FUL,EVE,0-0,1,1,2.6,3.5,2.7,x,0,2,1,3,181
4,FUL,NOT,0-0,1,0,2.03,3.85,3.4,1,1,1,0,2,153
5,CRY,WHU,2-0,3,1,2.5,3.6,2.7,1,2,0,1,3,117
6,FUL,BOU,2-0,3,0,1.94,3.7,3.85,1,2,0,0,2,135
7,EVE,NOT,0-0,0,0,1.8,3.9,4.25,x,0,1,0,1,185
8,FUL,TOT,1-1,1,2,3.25,3.8,2.1,2,0,0,1,1,186
9,EVE,CHE,1-0,1,0,1.8,3.9,4.25,1,2,1,1,4,90
10,CHE,TOT,0-0,1,4,2.03,3.85,3.4,2,0,0,1,1,187
1,LUT,WOL,2-2,3,3,2.8,3.45,2.55,x,1,1,1,3,180
2,LIV,CHE,0-1,1,1,2.12,4.05,3.05,x,0,2,0,2,140
3,FUL,SHU,1-0,2,0,1.97,3.65,3.75,1,4,0,1,5,156
4,MUN,BUR,1-1,3,1,1.41,5.0,7.0,1,3,0,0,3,188
5,LIV,MUN,0-1,1,1,2.07,4.3,3.05,x,0,1,0,1,189
6,MCI,ARS,0-0,1,0,1.97,4.05,3.45,1,5,0,1,6,190
7,MUN,EVE,1-1,3,1,1.69,4.2,4.65,1,1,0,0,1,191
8,MCI,AST,1-1,3,1,1.82,4.1,3.95,1,2,1,0,3,192
9,LIV,WOL,1-0,2,0,2.8,3.45,2.55,1,2,1,0,3,148
10,MCI,BUR,2-1,3,1,1.34,5.5,8.5,1,2,0,0,2,159
1,MUN,FUL,3-1,3,1,1.47,4.9,6.0,1,1,2,0,3,193
2,CRY,AST,1-0,3,1,2.75,3.65,2.45,1,4,0,0,4,95
3,MCI,CRY,0-3,0,4,1.52,4.65,5.75,2,1,1,1,3,194
4,MCI,WHU,1-0,2,0,1.7,4.25,4.5,1,3,1,0,4,195
5,FUL,NEW,1-0,2,1,3.4,3.8,2.05,1,1,0,0,1,196
6,MCI,LUT,0-0,3,1,1.3,5.75,9.5,1,1,0,2,3,173
7,LUT,EVE,0-1,0,3,3.1,3.4,2.35,2,1,0,2,3,197
8,MUN,CRY,2-0,2,0,1.62,4.45,4.85,1,2,1,1,4,198
9,LIV,WHU,0-2,3,2,1.85,4.2,3.75,1,3,2,0,5,167
10,MCI,MUN,0-0,1,0,1.86,4.3,3.65,1,1,0,1,2,199
1,MUN,WHU,0-0,1,0,1.83,4.15,3.85,1,1,0,0,1,200
2,MCI,ARS,0-0,0,1,1.97,4.05,3.45,2,5,0,1,6,190
3,LIV,MCI,0-1,2,2,2.35,4.15,2.65,x,0,1,1,2,201
4,MUN,FUL,0-0,1,1,1.47,4.9,6.0,x,1,2,0,3,193
5,MCI,CHE,1-2,2,2,1.91,4.05,3.65,x,0,1,2,3,202
6,MCI,ARS,0-0,1,0,2.5,3.6,2.7,1,5,0,1,6,190
7,FUL,BUR,0-0,2,1,2.0,3.7,3.65,1,1,0,1,2,127
8,EVE,FUL,0-1,0,2,1.9,3.7,4.0,2,2,0,1,3,102
9,LUT,FUL,0-1,0,2,2.55,3.5,2.7,2,0,0,2,2,203
10,LIV,AST,1-0,1,0,2.0,4.1,3.3,1,1,3,0,4,158
1,MCI,CHE,0-2,0,2,1.91,4.05,3.65,2,0,1,2,3,202
2,MUN,CRY,2-0,4,1,1.62,4.45,4.85,1,2,1,1,4,198
3,FUL,ARS,1-0,2,0,3.7,3.95,1.92,1,1,0,1,2,172
4,FUL,MCI,0-3,0,3,4.0,4.1,1.81,2,0,1,4,5,149
5,MCI,CRY,0-0,2,2,1.52,4.65,5.75,x,1,1,1,3,194
6,LUT,CHE,0-0,1,1,4.35,3.9,1.78,x,0,2,1,3,161
7,NEW,FUL,1-1,2,1,1.53,4.5,5.75,1,3,0,0,3,204
8,LUT,CRY,0-1,0,4,2.95,3.55,2.35,2,1,0,1,2,157
9,MUN,CRY,0-0,1,1,1.62,4.45,4.85,x,2,1,1,4,198
10,CRY,WHU,0-1,0,1,2.3,4.05,2.75,2,2,0,1,3,117
1,MUN,BHA,1-1,1,2,2.04,3.95,3.3,2,1,0,1,2,205
2,LIV,WHU,0-0,2,2,1.85,4.2,3.75,x,3,2,0,5,167
3,EVE,LIV,1-0,1,1,2.75,3.8,2.4,x,0,2,1,3,130
4,MCI,BHA,0-1,0,1,1.88,4.0,3.8,2,0,1,1,2,206
5,NOT,EVE,1-1,1,3,2.7,3.6,2.55,2,0,2,1,3,207
6,EVE,TOT,1-0,1,0,2.75,3.55,2.5,1,1,0,0,1,208
7,MUN,CRY,0-2,2,3,1.62,4.45,4.85,2,2,1,1,4,198
8,CRY,NOT,2-0,3,0,1.8,4.05,4.1,1,1,0,0,1,209
9,MUN,MCI,0-1,1,1,2.3,4.05,2.75,x,0,2,1,3,210
10,MUN,AST,0-2,0,2,1.97,4.05,3.45,2,0,0,2,2,211
1,MCI,AST,1-2,3,2,1.82,4.1,3.95,1,2,1,0,3,192
2,MCI,FUL,0-0,0,0,1.39,5.25,7.25,x,0,1,0,1,212
3,LUT,LIV,0-1,0,3,4.15,4.2,1.76,2,0,0,2,2,213
4,LIV,FUL,2-1,4,4,1.48,4.95,6.0,x,1,1,0,2,168
5,LIV,TOT,0-1,2,2,2.01,4.15,3.25,x,1,1,0,2,214
6,LUT,LIV,0-0,1,2,4.15,4.2,1.76,2,0,0,2,2,213
7,LUT,WOL,0-0,2,1,2.8,3.45,2.55,1,1,1,1,3,180
8,NEW,FUL,1-1,2,1,1.97,4.05,3.45,1,3,0,0,3,204
9,LIV,LUT,0-1,0,1,1.36,5.5,7.75,2,1,0,1,2,215
10,LIV,TOT,4-1,6,2,2.01,4.15,3.25,1,1,1,0,2,214
1,MUN,BOU,0-0,1,0,1.38,5.25,7.5,1,1,0,1,2,216
2,LUT,MUN,1-1,1,1,4.3,4.15,1.74,x,0,1,0,1,217
3,LUT,FUL,0-1,0,2,3.7,3.95,1.92,2,0,0,2,2,203
4,MUN,AST,0-2,1,2,1.97,4.05,3.45,2,0,0,2,2,211
5,FUL,LIV,0-1,1,1,3.35,4.1,2.0,x,0,1,0,1,218
6,MCI,NOT,2-2,3,3,1.34,5.75,8.0,x,1,3,0,4,219
7,LUT,EVE,0-1,1,2,3.1,3.4,2.35,2,1,0,2,3,197
8,MCI,ARS,2-1,3,2,1.97,4.05,3.45,1,5,0,1,6,190
9,NEW,AST,1-0,3,2,2.05,3.8,3.35,1,2,0,2,4,220
10,NEW,ARS,1-0,2,0,2.25,3.8,2.95,1,1,2,0,3,221
1,MUN,MCI,0-0,2,2,2.3,4.05,2.75,x,0,2,1,3,210
2,MUN,NEW,0-0,1,0,2.04,4.05,3.25,1,3,0,0,3,222
3,LIV,MCI,1-2,1,2,2.8,3.95,2.3,2,0,1,1,2,201
4,FUL,MCI,2-2,5,5,4.0,4.1,1.81,x,0,1,4,5,149
5,NOT,EVE,0-0,0,0,2.7,3.6,2.55,x,0,2,1,3,207
6,MCI,NOT,2-2,3,3,1.32,5.5,9.25,x,1,3,0,4,219
7,MUN,ARS,0-0,1,0,2.16,4.05,3.0,1,1,0,0,1,223
8,NEW,FUL,1-1,4,1,1.53,4.5,5.75,1,3,0,0,3,204
9,NEW,MUN,1-3,2,5,2.12,4.0,3.1,2,2,0,2,4,224
10,MCI,EVE,2-1,4,2,1.58,4.35,5.5,1,1,1,0,2,160
1,SHU,LUT,0-1,2,1,2.13,3.5,3.45,1,2,0,0,2,225
2,SHU,MUN,0-0,0,2,4.05,4.05,1.81,2,0,1,2,3,226
3,MCI,SHU,2-0,2,0,1.33,5.5,8.75,1,1,0,0,1,227
4,MCI,WOL,1-2,3,2,1.48,4.7,6.25,1,1,1,0,2,228
5,NEW,BRE,2-0,4,0,1.72,3.95,4.75,1,2,2,0,4,229
6,NOT,ARS,0-2,3,2,3.95,4.1,1.82,1,1,1,2,4,230
7,NEW,TOT,0-1,2,2,2.06,3.85,3.3,x,1,4,0,5,231
8,MCI,BHA,0-0,0,0,1.88,4.0,3.8,x,0,1,1,2,206
9,MUN,LIV,1-0,1,2,1.97,4.35,3.25,2,0,0,2,2,232
10,NOT,LUT,1-0,3,0,3.95,4.1,1.82,1,4,1,0,5,233
1,MCI,BOU,1-0,1,1,1.32,5.5,9.25,x,0,1,0,1,234
2,NOT,FUL,1-1,2,1,2.23,3.75,3.0,1,2,0,0,2,235
3,LUT,EVE,0-0,1,0,3.1,3.4,2.35,1,1,0,2,3,197
4,NEW,AST,0-1,1,2,2.05,3.8,3.35,2,2,0,2,4,220
5,LIV,LUT,2-0,3,1,2.05,3.8,3.35,1,1,0,1,2,215
6,LUT,AST,1-1,3,2,4.0,3.75,1.89,1,1,0,0,1,236
7,NEW,EVE,1-0,1,0,1.43,4.75,7.25,1,1,0,2,3,237
8,MCI,NEW,0-3,2,4,1.87,4.1,3.75,2,0,0,2,2,171
9,NEW,MCI,0-2,0,2,2.4,3.85,2.75,2,1,0,1,2,238
10,NEW,WOL,1-1,3,1,1.63,4.15,5.25,1,2,0,0,2,239
1,NEW,AST,1-0,2,1,2.05,3.8,3.35,1,2,0,2,4,220
2,LIV,NEW,0-2,1,2,2.07,4.1,3.15,2,0,0,1,1,240
3,NEW,CRY,0-0,1,0,1.69,4.15,4.7,1,3,2,0,5,241
4,NEW,AST,1-2,2,3,2.05,3.8,3.35,2,2,0,2,4,220
5,NEW,BRE,1-0,4,0,1.72,3.95,4.75,1,2,2,0,4,229
6,EVE,CHE,0-0,0,2,2.9,3.55,2.4,2,2,1,1,4,90
7,MUN,NEW,1-1,2,1,1.36,5.5,7.75,1,3,0,0,3,222
8,LUT,NOT,1-1,1,1,2.4,3.65,2.85,x,0,1,1,2,242
9,NEW,ARS,1-1,1,1,2.25,3.8,2.95,x,1,2,0,3,221
10,NOT,ARS,0-2,0,3,3.95,4.1,1.82,2,1,1,2,4,230
1,MUN,CHE,1-1,3,1,2.09,4.0,3.15,1,2,0,0,2,243
2,LUT,BHA,0-1,1,4,4.15,3.8,1.85,2,0,0,2,2,244
3,MCI,WHU,1-0,3,0,1.7,4.25,4.5,1,3,1,0,4,195
4,NOT,CHE,0-1,1,3,3.75,4.0,1.9,2,1,0,3,4,245
5,LIV,WOL,2-1,2,2,1.58,4.55,5.25,x,2,1,0,3,148
6,NEW,CRY,0-0,2,2,1.69,4.15,4.7,x,3,2,0,5,241
7,LUT,SHU,2-1,2,2,2.3,3.45,3.1,x,1,3,0,4,162
8,SHU,NEW,1-0,2,1,3.95,3.8,1.89,1,1,0,3,4,246
9,LUT,BHA,0-1,0,2,4.15,3.8,1.85,2,0,0,2,2,244
10,MUN,BRE,0-0,3,2,1.65,4.2,4.9,1,1,1,0,2,247
1,MCI,NOT,0-1,2,2,1.34,5.75,8.0,x,1,3,0,4,219
2,MCI,NOT,2-1,4,1,1.34,5.75,8.0,1,1,3,0,4,219
3,NEW,TOT,0-1,1,1,2.06,3.85,3.3,x,1,4,0,5,231
4,LUT,SHU,2-1,2,2,1.39,5.25,7.25,x,1,3,0,4,162
5,MCI,CRY,3-0,3,0,1.52,4.65,5.75,1,1,1,1,3,194
6,LUT,CHE,0-0,1,1,4.35,3.9,1.78,x,0,2,1,3,161
7,MUN,CHE,1-1,2,1,2.09,4.0,3.15,1,2,0,0,2,243
8,NOT,CHE,0-1,1,3,2.04,4.05,3.25,2,1,0,3,4,245
9,NEW,BOU,2-1,2,3,1.43,4.75,7.25,2,1,0,1,2,248
10,MCI,AST,1-0,2,2,1.82,4.1,3.95,x,2,1,0,3,192
1,NEW,BRE,3-1,3,3,1.72,3.95,4.75,x,2,2,0,4,229
2,MCI,WHU,1-1,4,2,1.7,4.25,4.5,1,3,1,0,4,195
3,FUL,MCI,0-2,0,2,4.0,4.1,1.81,2,0,1,4,5,149
4,LUT,SHU,0-0,1,1,1.7,4.25,4.5,x,1,3,0,4,162
5,MCI,ARS,2-2,3,2,1.97,4.05,3.45,1,5,0,1,6,190
6,NEW,MCI,1-0,4,0,2.4,3.85,2.75,1,1,0,1,2,238
7,LUT,BUR,0-0,0,2,2.35,3.45,3.05,2,1,0,1,2,249
8,LUT,NOT,0-2,1,4,2.4,3.65,2.85,2,0,1,1,2,242
9,NOT,SHU,0-0,2,0,2.03,3.7,3.5,1,1,0,1,2,250
10,SHU,BRE,0-2,3,4,2.85,3.35,2.55,2,1,0,1,2,251
1,SHU,FUL,0-0,1,1,2.45,3.5,2.85,x,0,3,0,3,252
2,TOT,LUT,1-1,2,1,1.43,4.85,7.25,1,3,0,0,3,253
3,NOT,WHU,1-2,2,4,3.1,3.75,2.19,2,0,0,1,1,254
4,NEW,WOL,3-0,3,1,1.63,4.15,5.25,1,2,0,0,2,239
5,SHU,BUR,0-0,2,3,2.25,3.45,3.2,2,0,0,1,1,255
6,NOT,BOU,2-1,2,1,1.99,3.75,3.6,1,1,1,0,2,256
7,MCI,BRE,1-0,1,1,1.97,4.35,3.25,x,1,1,0,2,174
8,LIV,CRY,2-0,3,1,1.63,4.5,4.7,1,1,0,1,2,257
9,MUN,SHU,0-1,0,2,1.63,4.15,5.25,2,1,0,1,2,258
10,NEW,MUN,2-0,4,1,2.12,4.0,3.1,1,2,0,2,4,224
